game_id|game_date|visit_id|home_id|visit_scores|home_scores|attendance|officials
1815364|11/05/2019 12:00 AM|486679|486831|['38', '30', '68']|['33', '46', '79']|2858|['Blake Harris', 'John Boylan Jr.', 'Jabir Walker']
1797124|11/05/2019 12:00 PM|487455|486911|['37', '24', '61']|['43', '76', '119']|8055|['Davis Maxwell', 'Nick Meyer', 'Kevin Mathis']
1797125|11/05/2019 12:00 PM|486729|486770|['32', '29', '61']|['53', '52', '105']|8805|['R - Tom Eades U - Tyler Kumpf', 'Tommy Short']
1797126|11/05/2019 12:00 PM|491165|486883|['11', '29', '40']|['48', '38', '86']|3856|['Sheldon Tate', 'Jablin Williams', 'Danny Chance']
1797127|11/05/2019 01:00 PM|486859|486694|['38', '34', '72']|['41', '39', '80']|5607|['Michael  Swoboda', 'Bryon Jarrett', 'Owen Shortt']
1797128|11/05/2019 05:00 PM|491830|486861|['35', '36', '71']|['34', '34', '68']|1435|[]
1797132|11/05/2019 06:00 PM|486975|486827|['42', '25', '67']|['37', '57', '94']|2213|['Anthony Burris', 'Matt Potter', 'Tony Henderson']
1797130|11/05/2019 06:30 PM|487359|486954|['25', '32', '57']|['50', '34', '84']|1245|['Tyson Holden', 'Garrett Theriot', 'Jason Barth']
1797135|11/05/2019 06:30 PM|486708|486651|['37', '34', '71']|['52', '53', '105']|1655|['A.J. Desai', 'John Gaffney', 'Michael Stephens']
1797137|11/05/2019 06:30 PM|486890|486908|['45', '42', '87']|['26', '48', '74']|7576|['Ron Groover', 'Ted Valentine', 'Mike Eades']
1797201|11/05/2019 07:00 PM|486875|486726|['22', '35', '57']|['43', '33', '76']|10050|['Anthony Franklin', 'Greg Evans', 'James Breeding']
1797196|11/05/2019 07:00 PM|490470|486957|['25', '41', '66']|['41', '53', '94']|2554|['Dave Cronin', 'Luke Schumer', 'Jon Campbell']
1797205|11/05/2019 07:00 PM|486727|486674|['30', '32', '12', '74']|['23', '39', '7', '69']|3183|['Ryan Corbett', 'Joseph Palacz', 'Michael  Fortunato']
1797207|11/05/2019 07:00 PM|492190|486953|['30', '25', '55']|['55', '50', '105']|2857|['Ron Tyburski', 'Keith Lewis', 'Ed Phillips']
1797210|11/05/2019 07:00 PM|486781|486835|['33', '35', '68']|['33', '31', '64']|1063|"['John Garbinski', ""Kevin  O'Connell"", 'Kevin  Ferguson']"
1797213|11/05/2019 07:00 PM|486996|486920|['30', '40', '6', '10', '86']|['35', '35', '6', '14', '90']|2043|"['Chris Hudson', ""Jeff O'Malley"", 'John Garrett']"
